el	article	masculine singular definite article; the		
moda	noun	fashion	Me interesa la historia de la moda.	I'm interested in the history of fashion.
horrible	adj	horrible	La película fue horrible y aburrida.	The movie was horrible and boring.
artificial	adj	artificial	La respiración artificial puede salvar vidas.	Artificial respiration can save lives.
apartamento	noun	flat, apartment	Estamos buscando un apartamento con dos habitaciones.	We are looking for an apartment with two bedrooms.
ciudadano	adj	living in a city	Los perros ciudadanos esperan tranquilos en el semáforo.	The citizen dogs wait calmly at the traffic light.
ciudadano	noun	citizen	Los ciudadanos votaron en las elecciones locales.	The citizens voted in the local elections.
respirar	verb	to breathe	Bajo el agua, no respires.	Under water, do not breathe.
dueño	noun	owner, proprietor, landlord	Conocí a los dueños del restaurante italiano.	I met the owners of the Italian restaurant.
espada	noun	spade (playing card marked with the symbol ♠)	No tenía espadas, así que jugó un corazón.	He didn't have any spades, so he played a heart.
programación	xxx	xxx	xxx	xxx
mediante	prep	by means of, through, using	Aprendí programación mediante cursos en línea.	I learned programming through online courses.
repetición	xxx	xxx	xxx	xxx
retroalimentación	xxx	xxx	xxx	xxx
motor	adj	moving	El aprendizaje motor ocurre mediante repetición y retroalimentación.	Motor learning occurs through repetition and feedback.
motor	noun	engine	El motor del coche hace ruido.	The car's engine makes noise.
afectar	verb	to affect, to have an effect on, to influence	El clima frío afecta nuestra salud.	Cold weather affects our health.
disculpe	intj	excuse me; pardon me	Disculpe, ¿aceptan pago con tarjeta?	Excuse me, do you accept card payments?
adulto	adj	adult	Ofrecemos cursos para estudiantes adultos.	We offer courses for adult students.
adulto	noun	adult	Muchos adultos prefieren leer noticias por la mañana.	Many adults prefer to read the news in the morning.
prestado	adj	lent, loaned	Llegamos en un coche prestado ese día.	We arrived in a borrowed car that day.
pillar	verb	to catch, get, to grab (e.g. grab a cab, get lunch, grab a drink, catch a movie)	¿Quieres pillar algo de comer?	Do you want to grab something to eat?
privado	adj	private, privy (e.g. a privy council)	Protege siempre tus datos privados.	Always protect your private data.
red	noun	web, mesh	En clase aprendimos cómo funciona la red de computadoras.	In class we learned how the computer network works.
semejante	adj	similar	Estas dos ideas son muy semejantes.	These two ideas are very similar.
poeta	noun	poet	Conocimos a varios poetas jóvenes hoy.	We met several young poets today.
morder	verb	to bite, nip	Si sigues molestándolo, te morderá.	If you keep bothering him, he will bite you.
justicia	noun	justice	La justicia tarda, pero llega finalmente.	Justice is slow, but it eventually arrives.
ataque	noun	attack, offensive	El ataque del perro asustó a todos.	The dog's attack frightened everyone.
sabor	noun	flavor; taste	El sabor del tomate es fresco.	The flavor of the tomato is fresh.
miel	noun	honey	Me gusta el té con miel.	I like tea with honey.
advertir	verb	to warn	Quiero advertirles que habrá retrasos mañana.	I want to warn you that there will be delays tomorrow.
gracioso	adj	funny, amusing	Esos chistes graciosos me hacen reír.	Those funny jokes make me laugh.
gracioso	noun	joker	Esa graciosa siempre hace bromas pesadas.	That smart-aleck is always playing mean pranks.
materno	adj	mother	Mi lengua materna es el español.	My mother tongue is Spanish.
diablo	noun	devil	Dicen que el diablo nunca duerme.	They say the devil never sleeps.
averiguar	verb	to find out, figure out, work out, determine	Ella averiguó quién llamó anoche.	She found out who called last night.
cuello	noun	neck (part of body connecting the head and the torso)	Sentí tensión en el cuello después de muchas horas sentado.	I felt tension in my neck after many hours of sitting.
preferido	adj	preferred, of choice	Su libro preferido es una novela histórica.	Their favorite book is a historical novel.
preferido	noun	favorite (e.g. favorite to win)	Mi preferido en la carrera terminó tercero.	My favorite in the race finished third.
respeto	noun	respect	Mi respeto por tu esfuerzo es sincero.	My respect for your effort is sincere.
rendir	verb	to conquer	Intentaron rendir la plaza principal.	They tried to take the main square.
dios	noun	god	Gracias a Dios, llegamos a tiempo.	Thank God, we arrived on time.
estómago	noun	stomach (an organ in animals that stores food in the process of digestion)	Mi estómago está vacío por la mañana.	My stomach is empty in the morning.
financiero	adj	financial	Necesitamos educación financiera para todos.	We need financial education for everyone.
comportar	verb	to involve	Este plan comporta ciertos riesgos financieros.	This plan entails certain financial risks.
enseguida	adv	immediately	Si tienes dudas, pregunta enseguida.	If you have doubts, ask right away.
separar	verb	to separate, to detach (to disunite from a group or mass; to disconnect)	Si se separan temprano, llegarán a tiempo.	If they split up early, they will arrive on time.
golf	noun	golf	Mi abuelo juega al golf los domingos por la mañana.	My grandfather plays golf on Sunday mornings.
mentiroso	adj	having the qualities of a liar	Ellos son mentirosos cuando temen las consecuencias.	They are liars when they fear the consequences.
mentiroso	noun	liar	Ese mentiroso siempre cambia su historia.	That liar always changes his story.
víctima	noun	victim	La víctima del accidente recibió ayuda inmediata.	The victim of the accident received immediate help.
izquierdo	adj	left; on the left side or toward the left; the opposite of right	El ojo izquierdo me duele hoy.	My left eye hurts today.
vencer	verb	to defeat, to win, to conquer	Ella siempre vence las dificultades.	She always overcomes difficulties.
incapaz	adj	incapable, unable	Somos incapaces de imaginar ese futuro.	We are unable to imagine that future.
soltar	verb	to release	Ella soltó su mano lentamente.	She let go of his hand slowly.
kilómetro	noun	kilometre; kilometer (US)	Faltan dos kilómetros para llegar.	There are two kilometers left to get there.
plata	adj	argent	Vi un auto plata en la esquina.	I saw a silver car at the corner.
electricidad	noun	electricity	Sin electricidad, muchos servicios dejarían de funcionar.	Without electricity, many services would stop working.
plata	noun	silver	La plata conduce bien la electricidad.	Silver conducts electricity well.
callar	verb	to calm	Por favor calla la radio.	Please silence the radio.
voluntad	noun	will, wish, want, desire	Su voluntad de ayudar impresiona.	Their willingness to help is impressive.
consciente	adj	aware, cognizant	Sé consciente de tus decisiones.	Be mindful of your decisions.
obedecer	verb	to obey	Decidimos obedecer para evitar problemas.	We decided to obey to avoid problems.
comienzo	noun	beginning	El comienzo de la película fue emocionante.	The beginning of the movie was exciting.
fiebre	noun	fever	La fiebre desapareció después de dormir bien.	The fever went away after sleeping well.
facilidad	noun	ease (skill, facility)	Aprendió a nadar con facilidad desde pequeño.	He learned to swim easily from a young age.
comunicar	verb	to communicate	Nos comunicamos por correo cuando viajamos.	We communicate by email when we travel.
tímido	adj	shy, timid, bashful, coy	Ella parece tímida, pero amable.	She seems shy but friendly.
saludar	verb	to greet	Cuando llegues, saluda con una sonrisa.	When you arrive, greet with a smile.
pecho	noun	thorax	Me duele el pecho al respirar.	My chest hurts when I breathe.
juntar	verb	to combine, unite	Quiero juntar nuestras ideas hoy.	I want to put our ideas together today.
epiléptico	xxx	xxx	xxx	xxx
crisis	noun	attack; fit	El paciente tuvo una crisis epiléptica en clase.	The patient had an epileptic seizure in class.
embarazado	adj	pregnant	Ella está embarazada y muy feliz.	She is pregnant and very happy.
origen	noun	origin	Cada costumbre tiene su propio origen.	Each custom has its own origin.
desgracia	noun	disgrace	Su mentira fue una desgracia para la familia.	Their lie was a misfortune for the family.
proponer	verb	to propose, to propound, to put forth, to put forward, to bring forward, to suggest	Ellos proponen cambiar el horario.	They propose changing the schedule.
sospechoso	noun	suspect	La sospechosa negó todas las acusaciones.	The suspect denied all the accusations.
discusión	noun	discussion	En casa, la discusión terminó rápidamente.	At home, the argument ended quickly.
consumir	verb	to consume	Mañana consumiré menos datos móviles.	Tomorrow I will use less mobile data.
india	noun	female equivalent of indio	Esa india habla tres lenguas de su pueblo.	That Indigenous woman speaks three languages of her people.
extender	verb	to extend, to expand	La empresa quiere extender sus operaciones internacionales.	The company wants to expand its international operations.
límite	noun	limit, threshold, cutoff, cut-off	Conocer mis límites me ayuda a cuidarme.	Knowing my limits helps me take care of myself.
defender	verb	to defend, to protect, to hold down (contra (“against”), de (“from”))	Defenderemos nuestros derechos si es necesario.	We will defend our rights if necessary.
cargar	verb	to load (to load a software into the primary memory)	El programa carga las bibliotecas necesarias en memoria.	The program loads the necessary libraries into memory.
batalla	noun	battle	La batalla causó grandes pérdidas humanas.	The battle caused heavy loss of life.
caber	verb	to fit, enter (to be able to be contained (by something; regardless of whether space or volume remains))	No cabemos todos en el coche.	We can't all fit in the car.
océano	noun	ocean	El océano influye en el clima mundial.	The ocean influences the global climate.
azucarado	xxx	xxx	xxx	xxx
impuesto	noun	impost	Pagamos un impuesto especial por bebidas azucaradas.	We pay a special tax on sugary drinks.
culpar	verb	to blame	Yo no te culparía por dudar.	I wouldn't blame you for doubting.
control	noun	control, or running of a business	Perdieron el control financiero por la mala planificación.	They lost financial control due to poor planning.
consistir	verb	to consist of	Nuestras tareas consisten en resolver problemas.	Our tasks consist of solving problems.
venta	noun	sale	La venta comenzó a las nueve.	The sale began at nine.
expresión	noun	expression	Algunas expresiones se traducen con dificultad.	Some expressions are difficult to translate.
